date,open,high,low,close,volume,trading_value,price_change,transactions,cash_dividend,split_ratio,gross_return,total_return_index,adjusted_close,adjustment_factor,adjusted_open,adjusted_high,adjusted_low,split_adjusted_open,split_adjusted_high,split_adjusted_low,split_adjusted_close,nav,issuer_market_price,fund_size,outstanding_units,margin_balance,short_balance,institutional_net,foreign_net,trust_net,dealer_net,official_close,close_difference,institutional_available,distribution_yield_ttm,feature_available_date,official_close_source
2003-09-09,46.5,46.59,45.7,45.7,7878000,364255510,-0.25,938,0.0,1.0,0.9945593035908596,123.2470334412081,5.493275613371718,0.12020296746984066,5.589437987347591,5.600256254419877,5.493275613371718,11.625,11.6475,11.425,11.425,45.45,45.7,20999678143.0,462000000.0,6401,1682,0.0,0.0,0.0,0.0,45.7,0.0,False,0.0,2003-09-10,TWSE_STOCK_DAY_AVG
2003-09-10,45.5,45.6,44.8,45.1,4903000,221018610,-0.6,957,0.0,1.0,0.986870897155361,121.62891046386184,5.421153832889815,0.12020296746984069,5.469235019877751,5.481255316624735,5.385092942648862,11.375,11.4,11.2,11.275,45.11,45.1,20705696602.0,459000000.0,6143,1734,0.0,0.0,0.0,0.0,45.1,0.0,False,0.0,2003-09-12,TWSE_STOCK_DAY_AVG
2003-09-12,45.04,45.47,44.8,45.47,2730000,123270760,0.37,473,0.0,1.0,1.0082039911308203,122.6267529665587,5.465628930853655,0.12020296746984067,5.413941654841624,5.465628930853655,5.385092942648862,11.26,11.3675,11.2,11.3675,45.12,45.47,20710805772.0,459000000.0,6245,1802,0.0,0.0,0.0,0.0,45.47,0.0,False,0.0,2003-09-15,TWSE_STOCK_DAY_AVG
2003-09-15,45.45,45.45,44.92,45.0,2946000,132703240,-0.47,427,0.0,1.0,0.9896635144051023,121.35922330097077,5.409133536142829,0.12020296746984066,5.463224871504258,5.463224871504258,5.399517298745242,11.3625,11.3625,11.23,11.25,44.72,45.0,20527538656.0,459000000.0,6362,1814,0.0,0.0,0.0,0.0,45.0,0.0,False,0.0,2003-09-16,TWSE_STOCK_DAY_AVG
2003-09-16,44.6,45.49,44.6,45.45,2267000,102586360,0.45,506,0.0,1.0,1.01,122.57281553398049,5.4632248715042575,0.12020296746984065,5.361052349154893,5.468032990203051,5.361052349154893,11.15,11.3725,11.15,11.3625,45.43,45.45,20853589518.0,459000000.0,6358,1832,0.0,0.0,0.0,0.0,45.45,0.0,False,0.0,2003-09-17,TWSE_STOCK_DAY_AVG
2003-09-17,45.83,45.99,45.7,45.79,5547000,254206540,0.34,745,0.0,1.0,1.0074807480748074,123.48975188781004,5.504093880444003,0.12020296746984065,5.508901999142797,5.528134473937971,5.4932756133717175,11.4575,11.4975,11.425,11.4475,45.84,45.79,20950085104.0,457000000.0,6289,1947,0.0,0.0,0.0,0.0,45.79,0.0,False,0.0,2003-09-18,TWSE_STOCK_DAY_AVG
2003-09-18,45.8,45.8,45.4,45.68,1464000,66772040,-0.11,450,0.0,1.0,0.9975977287617384,123.1930960086299,5.490871554022322,0.12020296746984066,5.505295910118702,5.505295910118702,5.4572147231307655,11.45,11.45,11.35,11.42,45.79,45.68,20927642755.0,457000000.0,6362,1908,0.0,0.0,0.0,0.0,45.68,0.0,False,0.0,2003-09-19,TWSE_STOCK_DAY_AVG
2003-09-19,45.68,46.0,45.6,45.8,6913000,316947000,0.12,630,0.0,1.0,1.0026269702276707,123.51672060409913,5.505295910118702,0.12020296746984065,5.490871554022321,5.52933650361267,5.4812553166247335,11.42,11.5,11.4,11.45,45.71,45.8,30030630960.0,657000000.0,6168,1764,0.0,0.0,0.0,0.0,45.8,0.0,False,0.0,2003-09-22,TWSE_STOCK_DAY_AVG
2003-09-22,45.5,45.5,45.0,45.0,5920000,267846020,-0.8,609,0.0,1.0,0.9825327510917031,121.35922330097077,5.409133536142829,0.12020296746984066,5.46923501987775,5.46923501987775,5.409133536142829,11.375,11.375,11.25,11.25,44.98,45.0,29554512460.0,657000000.0,6170,1793,0.0,0.0,0.0,0.0,45.0,0.0,False,0.0,2003-09-23,TWSE_STOCK_DAY_AVG
2003-09-23,44.7,45.0,44.7,44.8,6887000,308671570,-0.2,747,0.0,1.0,0.9955555555555555,120.81984897518868,5.385092942648861,0.12020296746984066,5.373072645901878,5.409133536142829,5.373072645901878,11.175,11.25,11.175,11.2,45.02,44.8,29579936665.0,657000000.0,6362,1908,0.0,0.0,0.0,0.0,44.8,0.0,False,0.0,2003-09-24,TWSE_STOCK_DAY_AVG
2003-09-24,44.98,45.0,44.71,44.85,3625000,162609340,0.05,415,0.0,1.0,1.0011160714285716,120.95469255663423,5.391103091022354,0.12020296746984067,5.4067294767934335,5.40913353614283,5.374274675576577,11.245,11.25,11.1775,11.2125,45.4,44.85,29735170626.0,655000000.0,6042,1660,0.0,0.0,0.0,0.0,44.85,0.0,False,0.0,2003-09-25,TWSE_STOCK_DAY_AVG
2003-09-25,44.7,44.9,44.2,44.85,6414000,286867240,0.0,528,0.0,1.0,1.0,120.95469255663423,5.391103091022354,0.12020296746984067,5.373072645901878,5.397113239395846,5.312971162166958,11.175,11.225,11.05,11.2125,45.11,44.85,29500983236.0,654000000.0,5846,1982,0.0,0.0,0.0,0.0,44.85,0.0,False,0.0,2003-09-26,TWSE_STOCK_DAY_AVG
2003-09-26,44.85,44.9,44.7,44.85,3001000,134549030,0.0,323,0.0,1.0,1.0,120.95469255663423,5.391103091022354,0.12020296746984067,5.391103091022354,5.397113239395846,5.373072645901878,11.2125,11.225,11.175,11.2125,44.75,44.85,29267993636.0,654000000.0,5683,2101,0.0,0.0,0.0,0.0,44.85,0.0,False,0.0,2003-09-29,TWSE_STOCK_DAY_AVG
